Frequency (Hz),Magnitude
0,0.00948172
1,0.00565101
2,0.0162097
3,0.0256715
4,0.025484
5,0.0263381
6,0.0176765
7,0.00890273
8,0.00629896
9,0.00295447
10,0.00542348
11,0.000382383
12,0.0125868
13,0.0124291
14,0.0126093
15,0.019687
16,0.00950032
17,0.00546725
18,0.008893
19,0.00651441
20,0.0251621
21,0.023524
22,0.00517444
23,0.0113959
24,0.0139901
25,0.00903409
26,0.0101639
27,0.0195264
28,0.0149424
29,0.0103168
30,0.0141138
31,0.00931458
32,0.0139026
33,0.00305541
34,0.0171519
35,0.00614636
36,0.0152574
37,0.0149227
38,0.0190095
39,0.0225317
40,0.0151571
41,0.00639711
42,0.0113081
43,0.0227184
44,0.0151536
45,0.00227485
46,0.024687
47,0.0287847
48,0.00858866
49,0.476993
50,0.974703
51,0.489865
52,0.00874996
53,0.0180985
54,0.0208068
55,0.00360437
56,0.00892876
57,0.00216761
58,0.0154351
59,0.0246495
60,0.0192188
61,0.0118881
62,0.00884139
63,0.012009
64,0.0106832
65,0.00713606
66,0.0036273
67,0.00252958
68,0.00732478
69,0.00802806
70,0.0125849
71,0.0186329
72,0.0239977
73,0.01349
74,0.00162395
75,0.000849414
76,0.0138858
77,0.0198838
78,0.00789684
79,0.00845593
80,0.0202789
81,0.0130157
82,0.0108702
83,0.0186294
84,0.0107765
85,0.0075203
86,0.012121
87,0.00744644
88,0.00656843
89,0.011568
90,0.0114587
91,0.0156468
92,0.00416129
93,0.0227435
94,0.0295503
95,0.016
96,0.0118606
97,0.00499981
98,0.00591083
99,0.00447186
100,0.00611148
101,0.0205762
102,0.0336948
103,0.0241019
104,0.0181175
105,0.0187188
106,0.01386
107,0.00716365
108,0.00328199
109,0.00532886
110,0.0160549
111,0.0224759
112,0.014836
113,0.0177318
114,0.0153852
115,0.0105695
116,0.0132864
117,0.00752638
118,0.000406187
119,0.27575
120,0.53842
121,0.258696
122,0.0153754
123,0.0047019
124,0.0124667
125,0.0191978
126,0.0189676
127,0.0104902
128,0.0156564
129,0.0103685
130,0.00986866
131,0.0229181
132,0.0167328
133,0.00960472
134,0.0134335
135,0.00934525
136,0.00212604
137,0.00299738
138,0.0148755
139,0.0180682
140,0.0071294
141,0.0146195
142,0.00482977
143,0.0146838
144,0.0158933
145,0.0126984
146,0.0087185
147,0.0105967
148,0.00597258
149,0.0136759
150,0.00213678
151,0.00685339
152,0.00838057
153,0.00652287
154,0.00606745
155,0.00868947
156,0.0114154
157,0.00178947
158,0.00304236
159,0.00848054
160,0.0136201
161,0.0107579
162,0.0101989
163,0.0224171
164,0.0369045
165,0.0283781
166,0.0196793
167,0.0120355
168,0.00289672
169,0.00712351
170,0.0112962
171,0.00944629
172,0.0132897
173,0.0178979
174,0.0155832
175,0.0193379
176,0.022037
177,0.0211615
178,0.025039
179,0.0253488
180,0.00906736
181,0.00759433
182,0.00697544
183,0.0274583
184,0.0162142
185,0.00861159
186,0.00862265
187,0.00254039
188,0.0141784
189,0.0117813
190,0.0113437
191,0.00324097
192,0.0122295
193,0.0212332
194,0.00922447
195,0.00852537
196,0.0195923
197,0.0163397
198,0.0111486
199,0.151753
200,0.303452
201,0.154784
202,0.00473197
203,0.00780902
204,0.0122324
205,0.00689811
206,0.0220434
207,0.00971837
208,0.00833267
209,0.0134355
210,0.0202903
211,0.0212406
212,0.00790864
213,0.0173091
214,0.0174376
215,0.0237562
216,0.01818
217,0.012134
218,0.0116689
219,0.0146561
220,0.0141535
221,0.0192807
222,0.0299196
223,0.017154
224,0.00735773
225,0.013262
226,0.0123894
227,0.0107583
228,0.0149914
229,0.0136589
230,0.0156533
231,0.02279
232,0.0198849
233,0.00688874
234,0.00471114
235,0.00848396
236,0.00541849
237,0.00816805
238,0.0123279
239,0.0231701
240,0.019921
241,0.00822383
242,0.00941273
243,0.0273917
244,0.0282633
245,0.00859299
246,0.0126299
247,0.0123291
248,0.00971304
249,0.0135236
250,0.0112771
251,0.0124044
252,0.0089962
253,0.0157137
254,0.0197554
255,0.0127533
256,0.00796906
257,0.00908495
258,0.0107854
259,0.0130305
260,0.0210221
261,0.015076
262,0.0171519
263,0.0193757
264,0.0157442
265,0.0109052
266,0.00508249
267,0.0189511
268,0.0207223
269,0.0143375
270,0.00125523
271,0.00654624
272,0.0070025
273,0.0108189
274,0.0134524
275,0.0043366
276,0.0147058
277,0.013232
278,0.0147055
279,0.00242203
280,0.0107445
281,0.0196975
282,0.0192263
283,0.0158511
284,0.00384675
285,0.00615209
286,0.00460523
287,0.00797836
288,0.0193685
289,0.0138271
290,0.00690051
291,0.00849928
292,0.00350732
293,0.0127023
294,0.0174266
295,0.0131912
296,0.0095673
297,0.0146738
298,0.013701
299,0.0187222
300,0.0364583
301,0.0165364
302,0.00863372
303,0.00813901
304,0.0161751
305,0.0101563
306,0.0106227
307,0.00780002
308,0.0125684
309,0.0201314
310,0.017874
311,0.017177
312,0.0182991
313,0.022052
314,0.0145566
315,0.0175013
316,0.0158416
317,0.00802419
318,0.010556
319,0.00954776
320,0.00673573
321,0.00991839
322,0.0147428
323,0.0182774
324,0.0243725
325,0.0175384
326,0.0161089
327,0.00549196
328,0.00897712
329,0.0165137
330,0.0248537
331,0.0208459
332,0.0193723
333,0.0140942
334,0.021533
335,0.0166052
336,0.0150404
337,0.0281815
338,0.0130911
339,0.0039236
340,0.0116716
341,0.0127112
342,0.00389305
343,0.00331
344,0.0101825
345,0.0111941
346,0.0175649
347,0.0336425
348,0.0338181
349,0.0241652
350,0.0169926
351,0.00326367
352,0.0166111
353,0.00474899
354,0.0132843
355,0.0161167
356,0.0187915
357,0.0134044
358,0.00805552
359,0.00966412
360,0.00745241
361,0.013159
362,0.0224217
363,0.0206641
364,0.0131886
365,0.0171366
366,0.00408306
367,0.00893527
368,0.0145844
369,0.0234207
370,0.020132
371,0.00844674
372,0.0262434
373,0.0199292
374,0.0176408
375,0.0221675
376,0.00906569
377,0.0170815
378,0.0198248
379,0.0128911
380,0.0044267
381,0.00206618
382,0.00468348
383,0.00079882
384,0.00290866
385,0.0129106
386,0.0311927
387,0.0295231
388,0.0133743
389,0.00200152
390,0.00751654
391,0.0107647
392,0.0141993
393,0.00430832
394,0.00851094
395,0.0046218
396,0.00487973
397,0.00656303
398,0.00664275
399,0.0147788
400,0.00940308
401,0.0125416
402,0.0168763
403,0.00775706
404,0.00344675
405,0.00844266
406,0.0201226
407,0.0191306
408,0.00879505
409,0.0129343
410,0.0153843
411,0.0153957
412,0.0156888
413,0.0109708
414,0.0212626
415,0.0297919
416,0.0213684
417,0.0100836
418,0.0127693
419,0.0243399
420,0.0162062
421,0.025079
422,0.0274157
423,0.00786515
424,0.00378723
425,0.00418267
426,0.0123941
427,0.017189
428,0.00416641
429,0.0178872
430,0.0298909
431,0.0161554
432,0.00596834
433,0.00668279
434,0.0136565
435,0.0245197
436,0.0220605
437,0.0032447
438,0.0215563
439,0.0140875
440,0.00653988
441,0.0127852
442,0.00903916
443,0.00386311
444,0.00463179
